WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
381,Springfield,US,37.2153,-93.2982,41.99,82,0,9.22,Clear
382,Alghero,IT,40.5589,8.3181,60.89,94,20,9.22,Clouds
383,Darasun,RU,51.6667,114.0,0.54,80,6,10.04,Clear
384,Road Town,VG,18.4167,-64.6167,75.29,71,0,17.69,Clear
385,Omsukchan,RU,62.5333,155.8,-37.32,97,75,3.29,Clouds
386,Palmer,US,42.1584,-72.3287,50.47,87,20,0.0,Clouds
387,Wukari,NG,7.85,9.7833,80.53,17,65,11.77,Clouds
388,Bayan,CN,46.0833,127.4,1.51,96,17,7.09,Clouds
389,Bucerias,MX,20.75,-105.3333,68.99,78,0,3.78,Clear
390,Ascension,US,30.2169,-90.9001,60.8,96,100,0.0,Clouds
391,Antofagasta,CL,-23.65,-70.4,63.68,85,24,2.53,Clouds
392,Lavrentiya,RU,65.5833,-171.0,-10.52,88,93,10.25,Clouds
393,Machico,PT,32.7,-16.7667,69.01,81,20,11.5,Clouds
394,Inirida,CO,3.8653,-67.9239,72.41,84,60,2.89,Clouds
395,Red Bluff,US,40.1785,-122.2358,58.68,94,0,14.97,Clear
396,Paita,PE,-5.0892,-81.1144,69.1,80,100,8.68,Clouds
397,Morondava,MG,-20.2833,44.2833,85.01,68,13,9.66,Clouds
398,North Bend,US,43.4065,-124.2243,47.91,100,100,5.75,Mist
399,Huntsville,US,34.7304,-86.5861,58.78,95,100,14.0,Clouds
400,Uddevalla,SE,58.3478,11.9424,46.65,90,100,3.0,Clouds
401,Sabang,ID,5.8933,95.3214,79.52,70,100,14.43,Clouds
402,Santa Cruz,BO,-17.8,-63.1667,72.86,88,94,4.61,Clouds
403,Moose Factory,CA,51.2585,-80.6094,21.2,86,100,9.22,Clouds
404,Yerbogachen,RU,61.2767,108.0108,-8.59,90,100,5.41,Clouds
405,Itarema,BR,-2.9248,-39.9167,76.42,80,59,8.5,Clouds
406,Saint-Pierre,RE,-21.3393,55.4781,83.88,61,40,10.36,Rain
407,Katsuura,JP,35.1333,140.3,48.45,61,99,3.2,Clouds
408,Mirnyy,RU,62.5353,113.9611,-4.77,83,98,13.0,Clouds
409,Guanare,VE,9.0418,-69.7421,60.82,66,67,1.14,Clouds
410,Mahanoro,MG,-19.9,48.8,84.4,57,0,9.78,Clear
